story,character, appearing lines
691c9eeb-ddfa-41ab-8a95-894afaf178e2,Boyfriend,"[2]"
115a7fcd-b165-49ef-9576-e8519c81cb13,Sampson,"[5]"
115a7fcd-b165-49ef-9576-e8519c81cb13,Neighbor,"[3, 4, 5]"
115a7fcd-b165-49ef-9576-e8519c81cb13,Johnny,"[1, 2, 3, 4, 5]"
767208dd-3030-4435-939d-686829d6d48c,Director,"[3]"
767208dd-3030-4435-939d-686829d6d48c,Coaches,"[2]"
767208dd-3030-4435-939d-686829d6d48c,Ned,"[1, 3, 4, 5]"
767208dd-3030-4435-939d-686829d6d48c,Son,"[1, 5]"
5933f4b0-ffe0-40f9-ab00-ae8420956863,Gertie,"[2, 3, 4, 5]"
43e214b8-2fe5-4b16-bbcd-03c4b440a4e2,Kelly,"[1, 2, 3, 4, 5]"
43e214b8-2fe5-4b16-bbcd-03c4b440a4e2,Eliza,"[1, 2, 3, 4, 5]"
394cb077-8e63-4f39-bdb5-d1b85b5a3d6d,I (myself),"[1, 2, 3, 4, 5]"
1118dad9-98e3-45de-bb22-2c14be1d7624,Kay,"[1, 2, 3, 4, 5]"
1118dad9-98e3-45de-bb22-2c14be1d7624,Kay's husband,"[2]"
1118dad9-98e3-45de-bb22-2c14be1d7624,Friends,"[2, 4, 5]"
f76a897d-c2c8-46ba-8246-85b0ee0b9719,Gill,"[1, 2, 3, 4, 5]"
f76a897d-c2c8-46ba-8246-85b0ee0b9719,Gill's father,"[3, 4]"
f76a897d-c2c8-46ba-8246-85b0ee0b9719,The prince,"[4]"
ea3669aa-81b1-489a-aeb4-caeb60d52c0b,Dad,"[1, 3, 5]"
ea3669aa-81b1-489a-aeb4-caeb60d52c0b,Timothy,"[1, 2, 3, 4, 5]"
857bc07a-7ce1-4256-a57e-c3aa0a801d77,Billy,"[1, 2, 3, 4]"
857bc07a-7ce1-4256-a57e-c3aa0a801d77,John,"[5]"
857bc07a-7ce1-4256-a57e-c3aa0a801d77,Eye doctor,"[3, 4]"
93904762-9e13-40fb-ad66-2c83ac88cdf3,One wife,"[3, 4]"
93904762-9e13-40fb-ad66-2c83ac88cdf3,I (myself),"[1]"
93904762-9e13-40fb-ad66-2c83ac88cdf3,Girlfriends,"[4]"
93904762-9e13-40fb-ad66-2c83ac88cdf3,Son,"[4, 5]"
93904762-9e13-40fb-ad66-2c83ac88cdf3,Wives,"[3]"
93904762-9e13-40fb-ad66-2c83ac88cdf3,Friends,"[1]"
d01ceb4a-2000-4349-b654-d3210345a229,Orion,"[1, 2, 3, 4]"
d01ceb4a-2000-4349-b654-d3210345a229,Doug,"[2, 3, 4, 5]"
f53c4145-92d1-4e2a-be31-6e0cac951434,I (myself),"[1, 2, 3, 4, 5]"
dec5696e-ebbd-4784-a761-a30fcced0651,The company,"[3]"
dec5696e-ebbd-4784-a761-a30fcced0651,Gary,"[1, 2, 3, 4, 5]"
b5c76dc3-edc4-4015-9bbf-4eff30f4f37f,Everybody,"[5]"
b5c76dc3-edc4-4015-9bbf-4eff30f4f37f,Winston,"[1, 2, 3, 4, 5]"
b5c76dc3-edc4-4015-9bbf-4eff30f4f37f,People,"[1]"
e9ba0328-3ea5-42b9-b56d-0cb309e0846d,Tami,"[1, 4, 5]"
e9ba0328-3ea5-42b9-b56d-0cb309e0846d,Gina,"[1, 2, 3, 5]"
e9ba0328-3ea5-42b9-b56d-0cb309e0846d,Mary,"[2, 3, 5]"
e9ba0328-3ea5-42b9-b56d-0cb309e0846d,Rita,"[2, 3, 5]"
075d6397-c00a-4d76-91f4-6e563c6fe395,Women,"[1, 3, 4, 5]"
075d6397-c00a-4d76-91f4-6e563c6fe395,Men,"[1, 2, 4, 5]"
bc7153b2-8708-4918-ba5f-696e22d28c79,Tom,"[1, 4, 5]"
7108e117-78cf-4205-9aeb-02e04c28242e,Anna,"[1, 2, 3, 4, 5]"
d1b87b09-cb19-4280-9c4c-faa1d27fee7b,Cousins,"[1, 4, 5]"
d1b87b09-cb19-4280-9c4c-faa1d27fee7b,Everyone,"[2, 5]"
d1b87b09-cb19-4280-9c4c-faa1d27fee7b,Uncle,"[4, 5]"
d1b87b09-cb19-4280-9c4c-faa1d27fee7b,Kids,"[3, 5]"
b07ead63-b053-48d7-92e0-d9b163abcf07,Davis,"[1, 2, 3, 4, 5]"
b07ead63-b053-48d7-92e0-d9b163abcf07,Young men,"[2]"
b07ead63-b053-48d7-92e0-d9b163abcf07,All young men in davis' town,"[2]"
2a75c475-f773-44a0-a6ea-1721903589a6,Amy,"[1, 2, 3, 4, 5]"
65202b87-29e5-4958-9e41-0f2b5008ca43,I (myself),"[1, 3, 4]"
8160e68b-954a-42bd-9f53-18319926e650,Theresa,"[1, 2, 4, 5]"
a205058c-37fc-4353-9e70-bf72d8a91fc9,Ed,"[1, 2, 3, 4, 5]"
a205058c-37fc-4353-9e70-bf72d8a91fc9,Friends,"[1, 2, 3, 4, 5]"
0434fea5-4a61-4918-a1f0-a0b6c25c7d19,Amy,"[1, 3, 4, 5]"
a832ed57-5268-4d9f-9775-c506c21b5156,School,"[1]"
a832ed57-5268-4d9f-9775-c506c21b5156,Mary,"[1, 2, 3, 4, 5]"
7d5cf5a4-be72-4b2c-a83d-00ceff9082d1,Ynez,"[1, 2, 5]"
0348e8d8-3f9c-42ba-b82a-06dcb333c496,Little girl,"[3, 4, 5]"
0348e8d8-3f9c-42ba-b82a-06dcb333c496,Biscuit,"[1]"
de9b3a24-f841-45e1-98cc-7b7b9e2cea15,Millie,"[1, 2]"
de9b3a24-f841-45e1-98cc-7b7b9e2cea15,Ice cream man,"[3, 4, 5]"
1c6e6209-29df-4a10-9fb2-036c3899fbe7,Dog's owners,"[2, 4, 5]"
1c6e6209-29df-4a10-9fb2-036c3899fbe7,Dog,"[1, 2, 3, 4, 5]"
bcb11ba3-b31f-439a-86a9-33b35f471c26,I (myself),"[1, 2, 3, 4]"
bcb11ba3-b31f-439a-86a9-33b35f471c26,My friend,"[5]"
dbe159db-53f6-4a5a-8c35-6e5c455fc556,Lauren,"[1, 2, 3, 4, 5]"
dbe159db-53f6-4a5a-8c35-6e5c455fc556,Lauren's family,"[1, 2, 3, 4]"
66139ac3-0bdb-439a-b6d0-453a3c5701ef,Ivan,"[1, 2, 3, 4, 5]"
d54cfc2c-de72-480b-ada5-e85ac78b927c,Anna,"[1, 2, 4, 5]"
7e3402e9-7617-4acf-8621-64918f16a30c,Friends,"[4]"
7e3402e9-7617-4acf-8621-64918f16a30c,Yolands,"[1, 2, 3, 4, 5]"
976a5bb5-e8c5-45d3-978a-fcef431cc82c,Jerry,"[1, 2, 3, 4, 5]"
acc92b1e-435a-4994-9f01-01773fd05d36,I (myself),"[1, 2, 3, 4, 5]"
acc92b1e-435a-4994-9f01-01773fd05d36,Friend,"[1, 2, 5]"
b382faa2-c556-481c-a834-b594e181eef3,Derek,"[1, 2, 3, 4, 5]"
324d7327-c7d6-4b30-b2cf-3e907422262f,Jen,"[1, 2, 3, 4, 5]"
0e5c92ef-786a-4b22-80ff-6aae0e295944,Yoshio,"[1, 2, 3, 4]"
85370dfa-ef98-4327-8025-3c7ecf74c799,Samantha,"[1, 2, 3, 4]"
85370dfa-ef98-4327-8025-3c7ecf74c799,Mary,"[1, 2, 3, 4, 5]"
44f74fb5-1d73-46da-a4b1-06c315fb15fa,Man,"[3, 5]"
44f74fb5-1d73-46da-a4b1-06c315fb15fa,Police,"[5]"
44f74fb5-1d73-46da-a4b1-06c315fb15fa,Helen,"[1, 2, 3, 4, 5]"
ea304d33-8f31-48d7-9e1e-5c5db9c9a751,Nick,"[1, 2, 3, 4, 5]"
f054f258-d7e5-41c5-8985-92b49101fc76,Viewers,"[5]"
54eae278-83ce-4ae1-a60a-520bf1758e9f,Pilot,"[5]"
54eae278-83ce-4ae1-a60a-520bf1758e9f,Wife,"[1, 3, 4, 5]"
54eae278-83ce-4ae1-a60a-520bf1758e9f,Man,"[1, 3, 4, 5]"
647a7299-459c-4530-b1b3-a08406b59238,Jane,"[1, 2, 4, 5]"
647a7299-459c-4530-b1b3-a08406b59238,Everyone,"[3]"
647a7299-459c-4530-b1b3-a08406b59238,Friends,"[2]"
df2d3f93-de17-489f-b6ee-a186003b61cc,Driver,"[3]"
df2d3f93-de17-489f-b6ee-a186003b61cc,A car,"[3, 4]"
df2d3f93-de17-489f-b6ee-a186003b61cc,Roger,"[1, 2, 3, 4, 5]"
37b8663e-52a1-496e-838c-644c28d46028,Bulldog,"[1, 2, 3]"
37b8663e-52a1-496e-838c-644c28d46028,My friend's sister,"[1, 4, 5]"
37b8663e-52a1-496e-838c-644c28d46028,Dog,"[4, 5]"
